ID,Certification,Category,Difficulty,Question Type,Question Text,Scenario Text,Option A,Option B,Option C,Option D,Correct Answer ID,Answer Explanation,Clinical Explanation,References,Status,Is Premium
mq-rbt-freq-001,RBT,A — Data Collection and Graphing,easy,conceptual,What does frequency measure in behavior data collection?,,The number of times a behavior occurs,How long a behavior lasts,The time between two behaviors,How intense a behavior is,A,Frequency is a count-based measure that records the number of times a behavior occurs during an observation period.,"RBTs use frequency counts for behaviors with a clear beginning and end, such as tallying how many times a client raises a hand or hits.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-002,RBT,A — Data Collection and Graphing,easy,conceptual,Frequency is best classified as which type of measurement?,,A permanent product measurement,A continuous measurement procedure,An interval recording procedure,A time-sampling procedure,B,"Frequency recording requires the observer to detect and record every occurrence of the target behavior throughout the session, which makes it a continuous measurement procedure.","Because frequency is continuous, the RBT must remain attentive throughout the entire session so no occurrence is missed.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-003,RBT,A — Data Collection and Graphing,easy,conceptual,Which of the following behaviors is MOST appropriate to measure using frequency?,,A client crying for varying lengths of time,A client engaging in continuous hand flapping,A client raising their hand to ask a question,A client's speed completing a worksheet,C,"Hand raising is a discrete behavior with a clear, consistent beginning and end, which makes it well suited to a simple count.","Frequency works best for behaviors that are brief and consistent in duration, so each occurrence can be counted as one unit.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-004,RBT,A — Data Collection and Graphing,easy,conceptual,An RBT is asked to count how many times a client says 'no' during a 30-minute session. Which measurement procedure is being used?,The RBT places a tally mark on a data sheet each time the client says the word.,Duration,Latency,Interresponse time,Frequency,D,Placing a tally mark for each occurrence of the behavior is the defining feature of frequency (event) recording.,Tally counting is one of the simplest and most common tools RBTs use to collect frequency data in session.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-005,RBT,A — Data Collection and Graphing,easy,conceptual,Which tool would an RBT most likely use to collect frequency data in real time?,,A hand tally counter,A stopwatch,A behavior rating scale,A permanent product checklist,A,"A hand tally counter allows the observer to increment a count each time the behavior occurs, which directly matches how frequency data is collected.",Many RBTs carry small clicker-style counters so they can record occurrences without looking away from the client for long.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-006,RBT,A — Data Collection and Graphing,easy,conceptual,Frequency data is typically expressed as which of the following?,,A percentage of intervals,A whole number count of occurrences,A ratio of correct to incorrect responses,A duration in minutes and seconds,B,"Frequency is simply the raw number of times the behavior happened, so it is reported as a whole number count.","When an RBT reports 'the client hit peers 4 times,' that number is a straightforward frequency count.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-007,RBT,A — Data Collection and Graphing,easy,conceptual,Which of the following is a key requirement for frequency data to be meaningfully compared across two different sessions?,,The client must be in the same mood both days,The behavior must occur at least once per minute,The observation periods must be of equal length,The data must be graphed on a bar chart,C,Raw counts are only directly comparable when the amount of time available for the behavior to occur is the same across sessions.,"If session lengths differ, an RBT should flag this to the supervisor rather than assume the raw counts reflect a real change in behavior.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-008,RBT,A — Data Collection and Graphing,easy,conceptual,Which behavior would be LEAST appropriate to measure using simple frequency counting?,,A client asking to use the restroom,A client throwing a single object,A client answering a question correctly,"A behavior that occurs continuously for long, variable periods, such as ongoing rocking",D,"Behaviors that occur continuously and vary in duration are difficult to count as discrete events, making frequency a poor match for them.","For behaviors like ongoing rocking, a different measure such as duration is usually more informative than a simple count.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-009,RBT,A — Data Collection and Graphing,easy,conceptual,Why do behavior analysts prefer frequency data for behaviors with a consistent duration?,,"Because each occurrence represents a roughly equal 'unit' of behavior, making counts meaningful",Because frequency data does not require an observer,Because consistent-duration behaviors cannot be timed,Because frequency automatically calculates rate,A,"When each instance of the behavior takes about the same amount of time, a simple count reflects the behavior fairly, since one occurrence is roughly equivalent to another.","This is why frequency works well for something like 'raises hand' but less well for something like 'tantrums,' which can vary widely in length.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-010,RBT,A — Data Collection and Graphing,easy,conceptual,An RBT collecting frequency data on 'requests for a break' should record a new tally when which of the following occurs?,,Only at the end of the session,Each time the client emits the request,Only if the request is granted,Every 5 minutes regardless of behavior,B,Frequency recording requires marking each individual occurrence of the defined behavior as it happens.,"The RBT should record the request itself, not the caregiver or therapist's response to it, since frequency measures the client's behavior.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-011,RBT,A — Data Collection and Graphing,easy,conceptual,"A behavior plan defines the target behavior as 'each instance of hitting, defined as forceful contact of an open or closed hand with another person.' This definition supports which measurement approach?",,"Duration, because hitting lasts a long time","Latency, because hitting only matters if it is delayed","Frequency, because hitting is a discrete event with a clear beginning and end","IRT, because hitting only matters in relation to the next response",C,"A clearly defined, discrete event like a single instance of hitting is well suited to being counted, which is the basis of frequency recording.",Clear operational definitions like this one help RBTs decide reliably whether one instance has occurred and should be tallied.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-012,RBT,A — Data Collection and Graphing,easy,conceptual,What is the main advantage of using a wrist tally counter over paper-and-pencil tallying for frequency data?,,It automatically converts frequency into rate,It records duration instead of count,It eliminates the need for an operational definition,It allows the RBT to record occurrences without looking away from the client,D,A wrist counter lets the RBT keep visual attention on the client and environment while still incrementing a count for each occurrence.,Staying visually engaged with the client is important for both safety and accurate behavior detection during session.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-013,RBT,A — Data Collection and Graphing,easy,conceptual,Which of the following data sheets is designed for frequency recording?,,A sheet with tally boxes labeled by behavior for the RBT to mark each occurrence,A sheet with a single start and stop time box,A sheet divided into 10-second intervals to mark yes/no,A sheet listing only the antecedent and consequence of one incident,A,"A sheet with tally boxes for marking each occurrence is designed specifically for counting how many times a behavior happens, which is frequency recording.",RBTs should choose the data sheet that matches the measurement procedure specified in the behavior plan.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-014,RBT,A — Data Collection and Graphing,easy,conceptual,"In frequency recording, what does a single tally mark represent?",,One minute of observation,One complete occurrence of the defined target behavior,One correct response only,One instruction delivered by the RBT,B,Each tally mark corresponds to one full instance of the behavior as it has been operationally defined.,"Consistently marking one tally per occurrence, and not per partial or unclear instance, keeps the data accurate.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-015,RBT,A — Data Collection and Graphing,easy,application,An RBT is told to record frequency of 'calling out without raising a hand' during a 20-minute academic session. The client calls out 6 times. How should the RBT record this?,,Record a duration of 20 minutes,Record a percentage of 30%,Record a count of 6 for the session,Record a rate of 6 per hour without noting session length,C,"Since the behavior was counted across the full session, the frequency is simply the total number of occurrences, which is 6.","Reporting the raw count of 6, along with the session length in the notes, gives the supervisor accurate information for later comparison.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-016,RBT,A — Data Collection and Graphing,easy,conceptual,Which of the following best distinguishes frequency from duration recording?,,Frequency measures time; duration measures count,Frequency and duration are two names for the same procedure,Frequency is only used for verbal behavior; duration is used for physical behavior,Frequency counts how often a behavior occurs; duration measures how long each occurrence lasts,D,"Frequency answers 'how many times,' while duration answers 'how long,' making them distinct dimensions of behavior.","An RBT might use frequency for hand-raising and duration for a tantrum, since these behaviors are better captured by different dimensions.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-017,RBT,A — Data Collection and Graphing,easy,conceptual,A behavior technician records a tally each time a client independently completes a step of a daily living task. What is being measured?,,Frequency of independent task completions,Duration of task engagement,Latency to begin the task,Interresponse time between tasks,A,Counting each completed step as it happens is a straightforward application of frequency recording.,This kind of frequency data helps the team track how often the client independently performs the skill across sessions.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-018,RBT,A — Data Collection and Graphing,easy,conceptual,Why is frequency considered a 'continuous' measurement procedure?,,Because the behavior must occur continuously without stopping,Because the observer must watch and record throughout the entire observation period without sampling,Because it produces a continuous line on a graph,Because it can only be used with permanent products,B,Continuous measurement means the observer records every instance of the behavior across the whole session rather than sampling only certain intervals.,"This is different from interval-based procedures, where the RBT only notes whether behavior occurred during specific time windows.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-019,RBT,A — Data Collection and Graphing,easy,conceptual,Which of these is an example of frequency data being reported correctly?,,'The client raised their hand for 45 minutes.','The client raised their hand 18% of the time.','The client engaged in 8 instances of hand-raising during the 45-minute session.','The client took 8 seconds to raise their hand.',C,"This statement reports a whole-number count of occurrences within a stated session, which is the correct format for frequency data.","Including the session length alongside the count, as shown here, helps anyone reviewing the data later understand the context.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-020,RBT,A — Data Collection and Graphing,easy,conceptual,"Before using frequency to measure a behavior, what should the RBT confirm from the behavior plan?",,That the client's parents approve of the measurement,That the behavior occurs at least once per second,That the behavior can be filmed for permanent product recording,That the target behavior has a clear operational definition with an identifiable beginning and end,D,"A clear, agreed-upon operational definition ensures that everyone recording the behavior can reliably identify each occurrence, which is essential for accurate counting.","If an RBT is ever unsure whether a specific instance counts as an occurrence, the operational definition in the plan should guide the decision.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-021,RBT,A — Data Collection and Graphing,medium,conceptual,How does frequency differ from rate?,,"Rate is frequency divided by the amount of time observed, allowing comparison across unequal session lengths",Frequency and rate are calculated the same way,Rate only applies to duration-based behaviors,"Frequency requires dividing by time, while rate does not",A,"Rate standardizes a count by time (e.g., occurrences per minute), which allows meaningful comparisons even when sessions are different lengths, unlike raw frequency alone.","An RBT might report '5 tantrums' as frequency, but if session lengths vary day to day, converting to rate gives the supervisor a clearer trend.",BACB — RBT Test Content Outline (3rd Edition),published,YES
